1.66
3.27
4.97
7.265
13.145
37.78
62.25
67.665
67.01
67.485
67.81
67.53
67.885
67.98
67.775
68.095
67.76
68.13
68.37
67.475
67.895
67.9
68.165
67.795
68.415
68.465

Problem: four_peaks
Algorithm: GA
Time Elapse: 14.0
Optimal Value: 69.0
