2.46
8.845
18.175
23.35
24.565
25.395
25.795
26.17
26.305
26.625
26.445
26.98
27.365
27.46
27.8
27.565
27.56
28.13
28.005
28.0
27.99
28.24
28.775
29.095
28.985
29.19

Problem: four_peaks
Algorithm: GA
Time Elapse: 93.0
Optimal Value: 35.0
