1.71
3.28
4.495
5.345
6.175
6.93
7.78
8.775
13.32
30.565
56.02
67.83
69.805
70.205
70.565
69.475
70.43
69.93
70.84
70.545
70.89
70.4
70.385
70.88
70.84
70.54

Problem: four_peaks
Algorithm: GA
Time Elapse: 170.0
Optimal Value: 75.0
