1.6
3.185
4.39
5.83
6.705
7.11
7.855
8.075
8.285
8.515
8.71
9.1
9.73
9.96
10.385
10.645
10.82
11.065
11.245
11.43
11.57
11.67
11.73
11.69
11.83
11.875

Problem: four_peaks
Algorithm: GA
Time Elapse: 277.0
Optimal Value: 12.0
