1.685
3.42
4.615
5.715
6.74
7.7
8.27
8.875
9.13
9.49
9.745
9.805
9.825
9.89
9.875
9.93
9.97
9.94
9.915
9.92
9.975
9.985
9.965
10.0
9.925
9.975

Problem: four_peaks
Algorithm: GA
Time Elapse: 191.0
Optimal Value: 10.0
