1.705
3.7
6.155
14.53
30.85
43.685
46.585
48.37
48.16
48.73
49.005
49.32
49.23
48.645
48.98
49.175
49.175
49.365
49.58
49.295
49.41
48.77
49.91
49.925
50.05
50.08

Problem: four_peaks
Algorithm: GA
Time Elapse: 64.0
Optimal Value: 55.0
