1.585
3.605
8.405
24.81
43.195
47.985
48.045
48.505
48.625
49.155
49.61
49.65
49.475
49.735
49.605
49.865
49.445
50.045
50.12
49.78
49.83
49.96
50.125
49.865
50.28
50.405

Problem: four_peaks
Algorithm: GA
Time Elapse: 157.0
Optimal Value: 53.0
