1.645
3.125
4.13
4.62
5.1
5.575
6.045
6.29
7.15
10.17
23.02
51.03
66.325
69.66
69.645
69.605
69.32
69.35
69.925
69.325
69.975
69.665
69.98
69.695
69.675
69.065

Problem: four_peaks
Algorithm: GA
Time Elapse: 551.0
Optimal Value: 71.0
