2.02
9.345
20.61
26.33
27.23
28.445
29.275
29.565
30.25
30.385
30.55
30.54
30.89
31.045
31.605
31.16
31.15
31.365
31.39
31.3
31.45
31.45
31.035
31.51
31.015
31.38

Problem: four_peaks
Algorithm: GA
Time Elapse: 7.0
Optimal Value: 37.0
